jobtitle,organisation,url,time,category,notes,
"Bill Manager","Department for Digital, Culture, Media and Sport",//www.gov.uk/dcms,January 2021 — present,Career,,
"Private Secretary and Head of Office","Department for Digital, Culture, Media and Sport",//www.gov.uk/dcms,August 2019 — January 2021,Career,,
"Head of LGBT Safety and Sector Sustainability Policy, Governance and Performance",Government Equalities Office,//www.gov.uk/geo,October 2018 — August 2019,Career,,
"Head of Sexual Orientation Policy",Government Equalities Office,//www.gov.uk/geo,January 2017 - October 2018,Career,,
"Senior Digital Adviser, Digital Group",Government Digital Service,//gds.blog.gov.uk,September 2015 - December 2016,Career,,
"Digital Adviser, Operations",Government Digital Service,//gds.blog.gov.uk,April 2014 - August 2015,Career,,
Business Change Manager,Department for Education,//www.gov.uk/government/organisations/department-for-education,August 2013 - March 2014,Career,,
Civil Service Fast Stream,UK Government,//gov.uk,August 2013 - August 2015,Career,,
Service Desk Analyst,London School of Economics,//www.lse.ac.uk/imt,July 2011 - July 2013,Career,,
"LGBT+ Mentor",Just Like Us,//www.justlikeus.org,October 2020 - present,Volunteering,,
"Co-chair",Civil Service LGBT+ Network,//www.civilservice.lgbt,October 2017 - October 2019,Volunteering,,
"Board member and Communications Lead",Civil Service Rainbow Alliance,//www.civilservice.lgbt,October 2013 - October 2017,Volunteering,,
"National Executive Councillor",National Union of Students,//www.nus.org.uk,July 2009 - June 2011,Volunteering,,
"Bachelor of Science in Government",London School of Economics,//lse.ac.uk,September 2010 - July 2013,Education,"First class with honours",